band	lemma	gender	reason
1	парень	m	masc
1	день	m	masc
1	жизнь	f	femn
1	ночь	f	femn
1	мать	f	femn
1	дверь	f	femn
1	дочь	f	femn
1	вещь	f	femn
1	смерть	f	femn
1	помощь	f	femn
1	часть	f	femn
1	любовь	f	femn
1	господь	m	masc
1	кровь	f	femn
1	путь	m	masc
1	мисс	f	femn
1	боль	f	femn
1	миссис	f	femn
1	родитель	m	masc
1	новость	f	femn
1	связь	f	femn
1	честь	f	femn
1	корабль	m	masc
1	безопасность	f	femn
1	возможность	f	femn
1	учитель	m	masc
1	мысль	f	femn
1	цель	f	femn
1	король	m	masc
1	приятель	m	masc
1	кровать	f	femn
1	запись	f	femn
1	огонь	m	masc
1	речь	f	femn
1	шоу	n	neut
1	болезнь	f	femn
1	леди	f	femn
1	свидетель	m	masc
1	отель	m	masc
1	гость	m	masc
1	мадам	f	femn
1	дождь	m	masc
1	роль	f	femn
1	уровень	m	masc
1	власть	f	femn
1	такси	n	neut
2	очередь	f	femn
2	контроль	m	masc
2	церковь	f	femn
2	память	f	femn
2	камень	m	masc
2	водитель	m	masc
2	фбр	n	neut
2	опасность	f	femn
2	ложь	f	femn
2	фото	n	neut
2	лошадь	f	femn
2	радость	f	femn
2	грудь	f	femn
2	гарри	m	masc
2	постель	f	femn
2	кость	f	femn
2	месье	m	masc
2	видео	n	neut
2	неприятность	f	femn
2	кино	n	neut
2	скорость	f	femn
2	ответственность	f	femn
2	обувь	f	femn
2	глупость	f	femn
2	днк	f	femn
2	личность	f	femn
2	способность	f	femn
2	деталь	f	femn
2	сеть	f	femn
2	стиль	m	masc
2	соль	f	femn
2	автомобиль	m	masc
2	модель	f	femn
2	чушь	f	femn
2	полдень	m	masc
2	лагерь	m	masc
2	тень	f	femn
2	радио	n	neut
2	пальто	n	neut
2	руль	m	masc
2	реальность	f	femn
3	интервью	n	neut
3	житель	m	masc
3	необходимость	f	femn
3	обязанность	f	femn
3	прибыль	f	femn
3	степень	f	femn
3	метро	n	neut
3	цру	n	neut
3	должность	f	femn
3	двигатель	m	masc
3	грязь	f	femn
3	площадь	f	femn
3	сентябрь	m	masc
3	медведь	m	masc
3	месть	f	femn
3	победитель	m	masc
3	хрень	f	femn
3	страсть	f	femn
3	область	f	femn
3	кафе	n	neut
3	июль	m	masc
3	зверь	m	masc
3	алкоголь	m	masc
3	июнь	m	masc
3	совесть	f	femn
3	представитель	m	masc
3	собственность	f	femn
3	мак	m	masc
3	алиби	n	neut
3	конь	m	masc
3	благодарность	f	femn
3	мелочь	f	femn
3	октябрь	m	masc
3	сволочь	f	femn
3	апрель	m	masc
3	мадемуазель	f	femn
3	предатель	m	masc
3	ненависть	f	femn
3	секретарь	m	masc
3	мсьё	m	masc
3	председатель	m	masc
3	пасть	f	femn
3	подпись	f	femn
3	ткань	f	femn
3	гордость	f	femn
3	ноябрь	m	masc
3	писатель	m	masc
3	пенни	n	neut
3	коктейль	m	masc
3	справедливость	f	femn
3	подробность	f	femn
3	опухоль	f	femn
3	осень	f	femn
3	плоть	f	femn
3	декабрь	m	masc
3	уверенность	f	femn
3	тварь	f	femn
3	слабость	f	femn
3	январь	m	masc
3	вероятность	f	femn
3	посетитель	m	masc
4	покупатель	m	masc
4	поверхность	f	femn
4	суть	f	femn
4	цепь	f	femn
4	надпись	f	femn
4	преподаватель	m	masc
4	зритель	m	masc
4	февраль	m	masc
4	пыль	f	femn
4	точность	f	femn
4	руководитель	m	masc
4	любитель	m	masc
4	беременность	f	femn
4	ценность	f	femn
4	трудность	f	femn
4	деятельность	f	femn
4	зависимость	f	femn
4	царь	m	masc
4	заместитель	m	masc
4	печать	f	femn
4	спектакль	m	masc
4	фестиваль	m	masc
4	стоимость	f	femn
4	корень	m	masc
4	картофель	m	masc
4	израиль	m	masc
4	действительность	f	femn
4	показатель	m	masc
4	сущность	f	femn
4	нефть	f	femn
4	гибель	f	femn
4	молодежь	f	femn
4	монастырь	m	masc
4	активность	f	femn
4	потребность	f	femn
4	готовность	f	femn
4	сложность	f	femn
4	особенность	f	femn
4	князь	m	masc
4	ладонь	f	femn
4	рубль	m	masc
4	производитель	m	masc
4	частность	f	femn
4	исследователь	m	masc
4	слушатель	m	masc
4	эффективность	f	femn
4	промышленность	f	femn
4	пользователь	m	masc
4	игорь	m	masc
4	читатель	m	masc
4	ссср	m	masc
4	предприниматель	m	masc
4	отрасль	f	femn
4	потребитель	m	masc
4	рф	f	femn
4	беларусь	f	femn
