,,,,,,,
,New vocabulary,,,,Sentences with the phases ,,
,Русский,Английский,,,Английский,Русский,
,cloud,Облако,,,I don't feel myself cold,Я не чувствую себя холодно,
,rainy cloud,Туча ,,,i don't feel the coldness,я не чувствую холод,
,  пот,Sweat,,,She needs to cure her illness,Ей нужно вылечить свою болезнь ,
,windy,Ветрено ,,,,,
, mountains,Горы,,,,,
,in the mountains,в горах ,,,,,
,Warm ,тёплая,,,,,
,Young brother , младший брат,,,Incorrect,Correct,Rule
,map,Карта ,,,Я часто гуляю после занятиях.,Я часто гуляю после занятий.,genitive
,Official,  официальный,,,Я закончил моя работа.,Я закончил свою работу.,reflexive possessive
, recently,Недавно,,,Я прожил в Грузии раньше один год.,Я прожил в Грузии один год.,past/perfective
,Employees,  работники,,,"Когда мне 25 лет, я жил в Грузии.","Когда мне было 25 лет, я жил в Грузии.",past age
, nurse,Медсестра ,,,Я остался два месяцев.,Я остался на два месяца.,на + accusative
,Bestfriend,  лучшая подруга/ лучший друг,,,Я учился в университете архитектор.,Я учился в университете на архитектора.,на + accusative
,Fever,жар,,,Мне нужно время думать.,"Мне нужно время, чтобы подумать.",чтобы + infinitive
,Ilness,болезнь,,,,,
,"7 раз отмерь, 1 раз отрежь "," measure 7 times, cut once.",,,,,
,earlier,раньше,,,,,
,before,перед/до,,,,,
