,УРОК 11.08.2026,
,Russian,English
,На каких выступлениях ты был в Москве?,Which performances have you been to in Moscow?
,С удовольствием,with pleasure
,Я делаю приложения с удовольствием,I enjoy making apps.
,Что ты обязательно делаешь каждый день?,What do you definitely do every day?
,Порядок слов и перевод странные,The word order and translation are strange.
,Выучить наизусть,暗記する、覚える
,Я пока (yet) не учу русские стихи,
,Люди вседга должны думать о других,People should always think about others.
,Ты учишь их наизусть? - Я учу русские правила (rules) наизусть,
,Собор,cathedrals
,Монастырь (м. р.) (Я был в монастыре),monastery
,Экскурсовод, Tour guide
,Твои друзья когда-нибудь рассказывали тебе об истории Москвы,
,,
,Дрквнегреческий,Ancient Greek
,Однажды,Once
,Ты знаешь других древнегреческих философов?,
,Тебя интересует философия?,
,,
,На этом трудно фокусироваться потому что это скучно,
,,
,Скрипка,violin
,Учёный-физиолог,Physiological scientist
,Я не болею ,I’m not sick.
,Болеть,To be sick
,Я болею за Роналдо,
,Я болею за одну баскетбольную команду,
,,
,УРОК 13.08.2026,
,,
,Научная фантастика,Science fiction
,Я не умею играть на музыкальных инструментах,
,Я знаю много японских команд,
,Вундеркинды,Prodigies
,выступать в цирке,to perform in the circus
,Международный крнкурс,International competition
,Сказка,Fairy tale
,Газета,Newspaper
,Юная и талантливая художница,A young and talented artist.
,Сосед,Neighbour
,Удивительный,Amazing
,"У них в цирке есть лев, медведь, слон.","They have a lion, a bear, and an elephant in their circus."
,,
,"Кстати, я вспомнил что я учился играть на пианино",
,Вместо газет мы читаем новости в телефоне,
,,
,УРОК 20.08.2026,
,,
,Выходной,holiday
,Праздник,Fiesta
,Я буду гулять по набережной,I'll be walking near the river. sea or any shore
,Это правда что люди в Японии живут очень долго?,
,Сколько в среднем живут японцы?,How long do Japanese people live on average?
,Сердце ,Heart
,Сломать,to break
,"Сломались (сломалась, сломался)",They broke down
,Бытовая техника,home appliances
,Стиральная машина ,washing machine
,Чайник,kettle
,Продавец,Seller
,Миксер,Mixer
,ПосудомОйка,dish washer
,Сушильная машина,Drying Machine
,,
,У меня никогда не ломается бытовая техника,
,ломаться (НСВ) - сломаться (СВ),
,,
,УРОК 25.08.26,
,,
,"Как часто? - Каждую неделю, каждые две недели",
,Бытовая техника у меня никогда не ломается,
,Снимать квартиру,Rent an apartment
,Зарабатывать деньги,To make money
,Сводить концы с концами,to make ends meet. (barely make enough money to live)
,Читатель,reader
,Скоро,Soon
,Обратить внимание на....,To pay attention to.....
,всё-таки,though
,У него хватит денег,He has enough money.
,"Хватает денег, времени,ресурсов","There is enough money, time, and resources."
,Незнакомец - Незнакомка,stranger
,Представлять,To imagine
,Он удивился,He was surprised
,Болтливый,talkative
,Неприятный,unpleasant
