,First Russian class 05/08,,,,,,,,
,New vocabulary,,,Sentences with the phases ,,,❌ Student's sentence,✅ Correct Russian,Grammar explanation (English)
,Русский,Английский,,Английский,Русский,,Я закончил моя работа.,Я закончил свою работу.,"When the subject owns something, Russian usually uses свой instead of мой. Also, after закончить the noun must be in the accusative case: работа → работу."
,"просыпаться я - просыпаюсь, он - просыпается... они - ",to wake up,,I usually wake up at seven.,Я обычно просыпаюсь в семь часов.,,Я живу в Грузии раньше один год.,Раньше я жил в Грузии один год. / Я прожил в Грузии один год.,"The action is finished, so use the past tense (жил, прожил), not the present (живу). ""Раньше"" usually goes at the beginning of the sentence."
,ложиться спать,to go to bed,,I get dressed very quickly.,Я одеваюсь очень быстро.,,У меня было некоторый друзей.,У меня было несколько друзей. / У меня были некоторые друзья.,Несколько is followed by the genitive plural (друзей). Некоторые is an adjective and must agree with the noun (некоторые друзья).
,собираться,to get ready,,I usually take a shower before breakfast.,Я обычно принимаю душ перед завтраком.,,"Я работал с русским, белорусом людей.",Я работал с русскими и белорусами.,"After the preposition с, Russian uses the instrumental case: русскими, белорусами."
,одеваться,to get dressed,,I brush my teeth twice a day.,Я чищу зубы два раза в день.,,Когда мне 25–28...,Когда мне было 25–28 лет...,"When talking about your age in the past, use было."
,принимать душ,to take a shower,,I make coffee every morning.,Я каждое утро варю кофе.,,Я остался два месяцев.,Я остался на два месяца.,"Duration after остаться is expressed with на + accusative. After два use месяца, not месяцев. (genetive case)"
,чистить зубы,to brush one's teeth,,I rarely cook breakfast.,Я редко готовлю завтрак.,,Я попробовал жить в много странах.,Я попробовал жить во многих странах.,"After в (location), use the prepositional case: во многих странах."
,готовить завтрак,to make breakfast,,I usually go to university by metro.,Я обычно езжу в университет на метро.,,Где я не могу говорить по английский.,Где я не могу говорить по-английски.,"Languages after говорить use an adverb, not an adjective: по-русски, по-английски."
,варить кофе,to make/brew coffee,,It takes me thirty minutes to get to university.,"Мне нужно тридцать минут, чтобы добраться до университета.",,Я учился в университете архитектор.,Я учился в университете на архитектора.,"After учиться, professions are expressed with на + accusative."
,ехать на учёбу,to go to university / school,,I am sometimes late for class.,Я иногда опаздываю на занятия.,,Потом я начал изучать инженер.,Потом я начал учиться на инженера. / Потом я начал изучать инженерное дело.,You cannot say изучать инженер. Use учиться на инженера or изучать инженерное дело.
,добираться,to get to,,I usually have enough time to eat breakfast.,Я обычно успеваю позавтракать.,,Это одна причина быть инженер.,Это одна из причин быть инженером.,"After быть, professions are in the instrumental case: инженером."
,опаздывать,to be late,,I spend a lot of time studying Russian.,"Я провожу много времени, изучая русский язык.",,Я был в язык школа.,Я был в языковой школе.,The adjective must agree with the noun: языковая школа → в языковой школе (prepositional case).
,успевать,to have enough time / to manage,,I do my homework every evening.,Я каждый вечер делаю домашнее задание.,,В Гватемала.,В Гватемале.,"After в (location), use the prepositional case."
,проводить время,to spend time,,I often go for a walk after classes.,Я часто гуляю после занятий.,,Когда я путешествовать...,Когда я путешествовал...,"After когда, you need a finite verb, not the infinitive."
,делать домашнее задание,to do homework,,I usually meet my friends on weekends.,Я обычно встречаюсь с друзьями по выходным.,,Я не мог ехать в школе.,Я не мог ходить в школу.,"Ходить в школу means ""to attend school regularly."" Ехать means ""to go by transport"" for one trip."
,гулять,to go for a walk,,I do sports three times a week.,Я занимаюсь спортом три раза в неделю.,,Я не могу встречи с люди.,Я не мог встречаться с людьми.,"After мочь, use the infinitive. After с, use the instrumental case: людьми."
,встречаться с друзьями,to meet friends,,I like to relax at home.,Я люблю отдыхать дома.,,"Я не могу слушать, как люди сказать.","Я не могу понимать, что говорят люди.","After как/что, use a conjugated verb, not the infinitive."
,заниматься спортом,to do sports / exercise,,I often go to bed late.,Я часто поздно ложусь спать.,,Надо время думать.,"Мне нужно время, чтобы подумать.","Russian usually uses the pattern Мне нужно время, чтобы..."
,отдыхать,to relax,,I have to get up early tomorrow.,Завтра мне нужно рано встать.,,Я изучаю только по русски.,Я учусь только по-русски.,Write the language adverb with a hyphen: по-русски.
,ложиться поздно,to go to bed late,,I drink coffee almost every day.,Я пью кофе почти каждый день.,,Я живу много месяцев Японии.,Я живу в Японии по пять-шесть месяцев в году.,"After жить, use в + prepositional case."
,рано вставать,to get up early,,Recently I have been very busy.,В последнее время я был очень занят.,,Я начал переехать в Америке.,Я переехал в Америку. / Я начал переезжать в Америку.,"After начать, use the imperfective infinitive. Usually, simply say переехал. Also, destination uses в Америку (accusative)."
,почти каждый день,almost every day,,I usually listen to music on the way to university.,Я обычно слушаю музыку по дороге в университет.,,Я путешествовал много странав.,Я путешествовал по многим странам.,The verb путешествовать normally takes по + dative.
,обычно,usually,,We often go to a café after classes.,Мы часто ходим в кафе после занятий.,,Я живу много странов.,Я жил во многих странах.,Use the prepositional case after во: во многих странах.
,иногда,sometimes,,I never eat before classes.,Я никогда не ем до занятий.,,Мои хобби танцевать...,Моё хобби — танцевать...,"Хобби is a neuter singular noun, so use моё."
