,,,,,
,New vocabulary,,,Sentences with the phases ,
,Русский,Английский,,Английский,Русский
,настроение,mood,,I am/You are in the mood. ,У меня/у тебя хорошее настроение
,в неделю,in a week,,I am having breakfast at home,Я завтракаю/ты завтракаешь/он завтракает/они завтракают дома. 
,на неделю,for a week,,,
,из-за,because of,,,
,короткий,short,*not using this words to descire the person's height,,
,завтракать,to have a breakfast,,,
,,,,,
,New vocabulary,,,,
,Русский,Английский,Conjugation,,
,IRREGULAR VERBS,,,,
,идти,to go by foot,"Я иду, ты идёшь, он/она идёт, мы идём, вы идёте, они идут ",,
,ехать,to go by transport,"я еду, ты едешь, он едет, мы едем, вы едете, они едут",,
,есть ,to eat,"я ем, ты ешь, он ест, мы едим, вы едите, они едят ",,
,мочь,"can, to be able to","я могу, ты можешь, он может, мы можем, вы можете, они могут ",,
,хотеть,to want,"я хочу, ты хочешь, он хочет, мы хотим, вы хотите, они хотят",,
,дать,to give,"я дам, ты дашь, он даст, мы дадим, вы дадите, они дадут",,
,бежать,to run,"я бегу, ты бежишь, он бежит, мы бежим, вы бежите, они бегут",,
,сесть,to sit down,"я сяду, ты сядешь, он сдет, мы сядем, вы сядете, они сядут ",,
,лечь,to lie down,"я лягу, ты ляжешь, он ляжет, мы ляжем, вы ляжете, они лягут",,
,взять,to take,"я возьму, ты возьмешь, он возьмет, мы возьмем, вы возьмете, они возьмут",,
,пить,to drink,"я пью, ты пьёшь, он пьёт, мы пьём, вы пьёте, они пьют",,
,спать,to sleep,"я сплю, ты спишь, он спит, мы спим, вы спите, они спят",,
,чистить ,,,,
