new_rank	lemma	new_band	in_trki	source
133	эй	1	False	subtitle
237	из-за	1	False	subtitle
262	что-нибудь	1	False	subtitle
297	тем	1	False	subtitle
309	ж	1	False	subtitle
342	кое-что	1	False	subtitle
376	кто-нибудь	1	False	subtitle
382	уверить	1	False	subtitle
397	равно	1	False	subtitle
398	мисс	1	False	subtitle
420	нормально	1	False	subtitle
452	волноваться	1	False	subtitle
461	миссис	1	False	subtitle
488	свидание	1	False	subtitle
498	здорово	1	False	subtitle
504	чувак	1	False	subtitle
518	вечером	1	False	subtitle
520	вообще-то	1	False	subtitle
533	увидеться	1	False	subtitle
540	ночью	1	False	subtitle
543	утром	1	False	subtitle
563	здравствуйте	1	False	subtitle
564	скорее	1	False	subtitle
565	ох	1	False	subtitle
580	дерьмо	1	False	subtitle
586	беспокоиться	1	False	subtitle
633	алло	1	False	subtitle
657	детектив	1	False	subtitle
661	немой	1	False	subtitle
693	заткнуться	1	False	subtitle
699	шутить	1	False	subtitle
701	когда-нибудь	1	False	subtitle
702	погодить	1	False	subtitle
723	украсть	1	False	subtitle
735	ужасно	1	False	subtitle
751	задница	1	False	subtitle
762	как-то	1	False	subtitle
765	прощение	1	False	subtitle
772	сбежать	1	False	subtitle
776	босс	1	False	subtitle
806	круто	1	False	subtitle
808	скучать	1	False	subtitle
811	врать	1	False	subtitle
814	осторожный	1	False	subtitle
816	идиот	1	False	subtitle
818	минутка	1	False	subtitle
821	шоу	1	False	subtitle
838	дедушка	1	True	subtitle
854	мило	1	False	subtitle
855	какой-нибудь	1	False	subtitle
858	арестовать	1	False	subtitle
861	леди	1	False	subtitle
876	слушайте	1	False	subtitle
879	позаботиться	1	False	subtitle
888	детка	1	False	subtitle
889	сойти	1	False	subtitle
904	пожаловать	1	False	subtitle
908	клясться	1	False	subtitle
909	мэм	1	False	subtitle
911	переводчик	1	False	subtitle
921	эм	1	False	subtitle
936	б	1	False	subtitle
938	мадам	1	False	subtitle
944	сработать	1	False	subtitle
963	смешно	1	False	subtitle
964	таблетка	1	True	subtitle
969	завтрак	1	True	subtitle
973	молодец	1	False	subtitle
977	отвезти	1	False	subtitle
978	расследование	1	False	subtitle
984	окей	1	False	subtitle
1003	блин	2	False	subtitle
1005	заботиться	2	False	subtitle
1008	лгать	2	False	subtitle
1014	убираться	2	False	subtitle
1016	спасть	2	False	subtitle
1018	сумасшедший	2	False	subtitle
1028	шеф	2	False	subtitle
1032	ввиду	2	False	subtitle
1034	по-моему	2	False	subtitle
1037	связаться	2	False	subtitle
1052	ух	2	False	subtitle
1057	выжить	2	False	subtitle
1068	уволить	2	False	subtitle
1074	постоять	2	False	subtitle
1078	избавиться	2	False	subtitle
1079	рождество	2	False	subtitle
1083	блядь	2	False	subtitle
1084	наконец-то	2	False	subtitle
1086	неважно	2	False	subtitle
1089	сожалеть	2	False	subtitle
1090	ублюдок	2	False	subtitle
1091	колледж	2	False	subtitle
1103	коп	2	False	subtitle
1108	опаздывать	2	True	subtitle
1113	здравствуй	2	False	subtitle
1127	фбр	2	False	subtitle
1131	сынок	2	False	subtitle
1135	расслабиться	2	False	subtitle
1137	ошибаться	2	False	subtitle
1141	гордиться	2	False	subtitle
1143	поверь	2	False	subtitle
1150	поздравлять	2	False	subtitle
1181	опоздать	2	False	subtitle
1183	сержант	2	False	subtitle
1184	невероятно	2	False	subtitle
1189	спальня	2	True	subtitle
1191	злиться	2	False	subtitle
1197	придурок	2	False	subtitle
1202	сок	2	True	subtitle
1204	сюрприз	2	False	subtitle
1207	напугать	2	False	subtitle
1218	определённо	2	False	subtitle
1223	покончить	2	False	subtitle
1224	обожать	2	False	subtitle
1225	показание	2	False	subtitle
1227	заслуживать	2	False	subtitle
1229	ад	2	False	subtitle
1230	испортить	2	False	subtitle
1240	плевать	2	False	subtitle
1242	чертовый	2	False	subtitle
1255	величество	2	False	subtitle
1262	улика	2	False	subtitle
1275	выбраться	2	False	subtitle
1283	хм	2	False	subtitle
1286	забирать	2	False	subtitle
1292	беспокоить	2	False	subtitle
1294	стоп	2	False	subtitle
1297	сметь	2	False	subtitle
1299	переехать	2	False	subtitle
1307	медсестра	2	True	subtitle
1313	поесть	2	False	subtitle
1321	месье	2	False	subtitle
1327	присоединиться	2	False	subtitle
1342	госпожа	2	False	subtitle
1348	заказать	2	False	subtitle
1351	ого	2	False	subtitle
1354	волновать	2	False	subtitle
1355	ха	2	False	subtitle
1358	расстроить	2	False	subtitle
1365	нанять	2	False	subtitle
1366	помешать	2	False	subtitle
1368	исправить	2	False	subtitle
1372	перезвонить	2	False	subtitle
1385	вау	2	False	subtitle
1394	сука	2	False	subtitle
1397	видео	2	False	subtitle
1404	классный	2	False	subtitle
1407	женатый	2	False	subtitle
1414	оу	2	False	subtitle
1415	глупо	2	False	subtitle
1418	отпечаток	2	False	subtitle
